id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:14:11 UTC,2.41,9.78,1.62,2.26,0.58
7,2023-06-09 12:18:16 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 12:20:54 UTC,1.63,4.87,1.23,1.63,0.15
25,2023-06-09 12:24:34 UTC,1.63,5.02,1.07,1.82,0.21
28,2023-06-09 12:27:12 UTC,1.96,5.44,1.21,1.90,0.21
46,2023-06-09 12:27:30 UTC,1.43,4.65,1.04,1.52,0.14
56,2023-06-09 12:30:09 UTC,0.73,3.25,0.82,1.09,0.18
58,2023-06-09 12:30:34 UTC,0.92,3.79,0.81,1.38,0.07
81,2023-06-09 12:34:31 UTC,1.14,4.20,0.97,1.40,0.10
87,2023-06-09 12:35:30 UTC,1.68,5.06,1.20,1.48,0.24
92,2023-06-09 12:36:58 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 12:38:16 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-06-09 12:38:48 UTC,1.75,7.62,1.57,1.89,0.22
109,2023-06-09 12:40:39 UTC,1.52,4.91,1.01,1.75,0.20
112,2023-06-09 12:41:57 UTC,1.25,4.31,1.08,1.32,0.10
119,2023-06-09 12:43:47 UTC,1.66,4.94,1.18,1.65,0.19
133,2023-06-09 12:44:15 UTC,1.09,4.16,0.85,1.54,1.54
137,2023-06-09 12:45:22 UTC,2.99,7.39,1.57,2.34,0.42
150,2023-06-09 12:46:47 UTC,1.62,5.03,1.07,1.74,0.11
151,2023-06-09 12:49:38 UTC,1.27,9.61,1.54,2.05,0.11
