id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:22:19 UTC,2.41,7.64,1.42,2.28,0.58
7,2023-06-09 12:25:00 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 12:27:30 UTC,1.63,4.87,1.23,1.63,0.15
19,2023-06-09 12:29:48 UTC,0.38,2.36,0.59,0.73,""
25,2023-06-09 12:32:13 UTC,1.63,5.02,1.07,1.82,0.21
28,2023-06-09 12:34:25 UTC,1.96,5.44,1.21,1.90,0.36
46,2023-06-09 12:36:14 UTC,1.43,4.65,1.04,1.52,0.14
56,2023-06-09 12:37:43 UTC,0.73,3.25,0.82,1.09,0.18
58,2023-06-09 12:39:38 UTC,0.92,3.79,0.81,1.38,0.07
67,2023-06-09 12:41:13 UTC,1.20,9.84,1.11,1.49,0.38
81,2023-06-09 12:43:29 UTC,1.14,4.20,0.97,1.40,0.10
87,2023-06-09 12:45:07 UTC,1.68,5.06,1.20,1.48,0.24
92,2023-06-09 12:46:38 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 12:47:05 UTC,1.63,5.05,1.08,1.70,0.17
