id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:21:42 UTC,0.04,0.84,0.20,0.27,0.07
7,2023-06-09 12:25:06 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 12:27:00 UTC,1.57,5.91,1.28,1.56,0.15
19,2023-06-09 12:30:15 UTC,0.38,2.37,0.59,0.73,0.25
25,2023-06-09 12:31:45 UTC,0.16,8.75,1.03,1.81,0.21
28,2023-06-09 12:33:20 UTC,1.96,5.43,1.21,1.90,0.36
46,2023-06-09 12:34:37 UTC,1.37,5.31,1.03,1.51,0.14
56,2023-06-09 12:36:08 UTC,0.73,3.25,0.82,1.09,0.18
58,2023-06-09 12:37:12 UTC,0.90,4.00,0.79,1.38,0.07
67,2023-06-09 12:38:44 UTC,0.01,0.71,0.09,0.12,0.03
81,2023-06-09 12:39:32 UTC,1.14,4.20,0.97,1.40,""
87,2023-06-09 12:40:47 UTC,1.68,5.06,1.20,1.48,0.24
92,2023-06-09 12:42:10 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 12:42:49 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-06-09 12:43:47 UTC,2.48,9.07,1.87,2.26,0.26
109,2023-06-09 12:44:51 UTC,2.16,5.84,1.20,2.08,0.24
112,2023-06-09 12:46:28 UTC,1.25,4.32,1.08,1.32,0.10
119,2023-06-09 12:47:29 UTC,1.66,4.94,1.18,1.65,0.19
