id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:31:04 UTC,2.87,7.04,1.64,2.26,0.58
7,2023-06-09 13:32:13 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 13:34:51 UTC,1.63,4.87,1.23,1.63,0.15
19,2023-06-09 13:37:38 UTC,0.38,2.36,0.59,0.73,""
25,2023-06-09 13:40:04 UTC,1.64,5.04,1.08,1.83,0.21
28,2023-06-09 13:42:26 UTC,1.96,5.43,1.21,1.90,0.36
46,2023-06-09 13:45:02 UTC,1.43,4.65,1.04,1.52,0.14
56,2023-06-09 13:47:04 UTC,0.73,3.25,0.82,1.09,0.18
58,2023-06-09 13:49:12 UTC,0.92,3.79,0.81,1.37,0.07
67,2023-06-09 13:50:10 UTC,1.20,9.85,1.11,1.49,0.38
81,2023-06-09 13:52:45 UTC,1.14,4.20,0.97,1.40,0.10
87,2023-06-09 13:55:54 UTC,1.68,5.06,1.20,1.48,""
92,2023-06-09 13:56:57 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 13:58:26 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-06-09 13:59:31 UTC,1.75,7.62,1.57,1.89,0.22
