id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:16:10 UTC,2.87,7.04,1.64,2.26,0.58
7,2023-06-09 12:21:04 UTC,2.68,6.21,1.80,1.89,0.79
17,2023-06-09 12:21:41 UTC,1.57,5.91,1.28,1.56,0.15
19,2023-06-09 12:22:31 UTC,0.00,0.52,0.07,0.09,0.03
25,2023-06-09 12:24:39 UTC,0.16,8.75,1.03,1.81,0.21
28,2023-06-09 12:27:22 UTC,1.96,5.44,1.21,1.90,0.36
46,2023-06-09 12:27:57 UTC,1.37,5.31,1.03,1.51,0.14
56,2023-06-09 12:29:05 UTC,0.73,3.25,0.82,1.09,0.18
58,2023-06-09 12:30:17 UTC,0.90,4.00,0.79,1.38,0.07
67,2023-06-09 12:31:28 UTC,0.01,0.71,0.09,0.12,0.03
81,2023-06-09 12:32:55 UTC,0.11,7.82,0.93,1.41,""
87,2023-06-09 12:33:54 UTC,1.68,5.06,1.20,1.48,""
92,2023-06-09 12:35:02 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 12:35:43 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-06-09 12:36:24 UTC,1.75,7.62,1.57,1.89,0.22
109,2023-06-09 12:37:33 UTC,1.52,4.91,1.01,1.75,0.20
112,2023-06-09 12:39:04 UTC,1.25,4.32,1.08,1.32,0.10
119,2023-06-09 12:40:23 UTC,1.55,6.74,1.15,1.65,0.19
133,2023-06-09 12:41:30 UTC,1.07,4.58,0.82,1.53,1.54
137,2023-06-09 12:42:31 UTC,2.99,7.39,1.57,2.34,0.42
150,2023-06-09 12:43:22 UTC,1.62,5.03,1.07,1.74,0.11
151,2023-06-09 12:44:02 UTC,1.27,9.61,1.54,2.05,0.68
182,2023-06-09 12:45:16 UTC,0.97,3.75,0.96,1.20,0.12
184,2023-06-09 12:46:17 UTC,1.61,5.07,1.08,1.73,0.18
187,2023-06-09 12:46:49 UTC,1.52,4.74,1.16,1.62,0.12
