id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:31:20 UTC,2.87,7.04,1.64,2.26,0.58
7,2023-06-09 13:39:47 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 13:43:13 UTC,0.38,2.36,0.59,0.73,""
19,2023-06-09 13:47:16 UTC,1.83,5.26,1.17,1.83,0.35
25,2023-06-09 13:53:27 UTC,0.78,3.47,0.74,1.26,0.14
28,2023-06-09 13:56:05 UTC,1.63,4.87,1.23,1.63,0.21
