id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:31:28 UTC,2.87,7.04,1.64,2.26,0.58
7,2023-06-09 13:34:25 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 13:36:54 UTC,1.63,4.87,1.23,1.63,0.15
19,2023-06-09 13:39:12 UTC,0.38,2.36,0.59,0.73,""
25,2023-06-09 13:41:16 UTC,0.37,2.41,0.51,0.87,0.10
28,2023-06-09 13:43:11 UTC,1.96,5.44,1.21,1.90,0.36
46,2023-06-09 13:44:41 UTC,1.43,4.65,1.04,1.52,0.14
56,2023-06-09 13:46:31 UTC,0.70,3.19,0.80,1.06,0.18
58,2023-06-09 13:48:31 UTC,0.92,3.79,0.81,1.38,0.07
67,2023-06-09 13:50:38 UTC,1.20,9.84,1.11,1.49,0.38
81,2023-06-09 13:52:41 UTC,1.14,4.20,0.97,1.40,0.10
87,2023-06-09 13:54:32 UTC,0.95,3.80,0.90,1.11,0.18
92,2023-06-09 13:56:32 UTC,2.34,5.95,1.42,1.80,0.13
98,2023-06-09 13:58:07 UTC,1.63,5.05,1.08,1.70,0.17
108,2023-06-09 13:58:42 UTC,1.75,7.24,1.49,1.89,0.22
