id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:33:26 UTC,2.87,7.04,1.64,2.26,0.58
7,2023-06-09 13:37:30 UTC,2.71,6.24,1.81,1.90,0.79
17,2023-06-09 13:40:40 UTC,1.57,5.91,1.28,1.56,0.15
19,2023-06-09 13:43:58 UTC,0.38,2.36,0.59,0.73,""
25,2023-06-09 13:46:22 UTC,1.63,5.02,1.07,1.82,0.21
28,2023-06-09 13:49:11 UTC,1.96,5.43,1.21,1.90,0.36
46,2023-06-09 13:51:26 UTC,1.43,4.65,1.04,1.52,0.14
56,2023-06-09 13:53:35 UTC,0.83,3.45,0.87,1.15,0.19
58,2023-06-09 13:56:28 UTC,0.92,3.80,0.81,1.37,0.07
67,2023-06-09 13:58:40 UTC,1.20,9.84,1.11,1.49,0.38
