ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,87.43,218.903355032549,56.19,140.686029043565,23.06,57.736604907361,E-W,side,19.97,50
2895,77.29,190.557199211045,71.91,177.292899408284,27.97,68.9595660749507,E-W,side,20.28,50
451,29.66,76.640826873385,24.04,62.1188630490956,9.78,25.2713178294574,,,19.35,50
774,77.28,197.042325344212,48.47,123.584905660377,14.03,35.772565017848,W-E,side,19.61,50
865,73.7,193.947368421053,43.22,113.736842105263,7.5,19.7368421052632,W-E,side,19,50
890,62.76,162.254395036194,53.97,139.529472595657,5.89,15.2275077559462,W-E,side,19.34,50
957,77.54,200.776799585707,59.09,153.003625064733,24.12,62.4546866908338,W-E,side,19.31,50
967,61.04,154.063604240283,32.68,82.4835941443715,3.85,9.71731448763251,NW-SE,side,19.81,50
965,5.91,15.1538461538462,44.56,114.25641025641,15.03,38.5384615384615,,,19.5,50
1045,62.92,160.183299389002,34.86,88.7474541751528,6.67,16.9806517311609,E-W,side,19.64,50
1070,60.47,152.164066431807,42.72,107.498741821842,5.33,13.4121791645697,SE-NW,side?,19.87,50
1071,54.78,141.404233350542,33.06,85.3381517811048,1.94,5.00774393391843,,,19.37,50
1084,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,50
1109,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,50
1113,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1115,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1123,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1150,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1494,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1515,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2277,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2327,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2582,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2667,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2741,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2600,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2605,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2699,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2606,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2583,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2898,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2891,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
