ID,length (px),length (m),width (px),width (m),depth (px),depth (m),skeleton orientation,position (side/back),scale width,scale length text (cm)
2633,337.75,225.467289719626,210.1,140.253671562083,85.23,56.8958611481976,E-W,Side,74.9,50
2895,297.01,124.972650004208,273.28,114.987797694185,114.5,48.1780695110662,E-W,Side,118.83,50
451,109.73,73.6739626695314,85.35,57.3049550154425,,0,,,74.47,50
774,75.17,191.272264631043,47.67,121.297709923664,14.5,36.8956743002545,W-E,Side,19.65,50
865,72.43,180.713572854291,42.94,107.135728542914,8.09,20.184630738523,W-E,Side,20.04,50
890,61.84,156.004036326942,54.21,136.75580221998,5.69,14.3541876892028,W-E,Side,19.82,50
957,294.29,195.152519893899,218.62,144.973474801061,46.25,30.6697612732095,W-E,Side,75.4,50
967,234.34,157.52890561979,122.26,82.1860715246034,15.28,10.2715783812853,W-E,Side,74.38,50
965,222.12,147.294429708223,169.15,112.168435013263,58.08,38.5145888594164,NW-SE,Side,75.4,50
1045,239.43,165.466482377332,130.42,90.1313061506565,26.51,18.3206634416033,E-W,Side,72.35,50
1070,226.19,152.050282333961,157.93,106.164291476203,18.34,12.3285829524066,E-W,Side,74.38,50
1071,207.85,138.770196287889,124.3,82.9883829616771,6.62,4.41981572973695,,,74.89,50
1084,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1109,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1113,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1115,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1123,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1150,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1494,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1515,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2277,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
1653,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2283,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
2327,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,
